,episode_reward,nb_steps
0,-40.269999999999996,93
1,-32.94,82
2,35.07893078314243,108
3,32.890845070422536,44
4,-32.06,38
5,-34.84,69
6,-32.38,53
7,32.39189189189189,47
8,-32.82,114
9,-35.129999999999995,58
10,-41.06,34
11,42.07474616676336,60
12,32.054755043227665,68
13,-35.29,93
14,33.0,50
15,-35.66,33
16,-32.349999999999994,56
17,-32.58,63
18,-32.63,54
19,-34.74,68
20,45.333466591774595,38
21,-32.84,41
22,-32.16,82
23,32.46130030959752,63
24,-32.21,54
25,-32.21,50
26,-37.45,63
27,-32.7,47
28,-35.230000000000004,59
29,38.01034482758621,49
30,37.251744334097275,35
31,-33.0,69
32,34.52214040255277,56
33,-43.44,52
34,32.93793103448276,97
35,37.06306612118458,97
36,-32.62,116
37,-38.49,54
38,-33.0,88
39,32.390946502057616,91
40,-42.53,42
41,-38.06,102
42,-40.18,61
43,34.73011050850222,70
44,-32.88,66
45,32.232484076433124,100
46,-33.0,75
47,32.953216374269005,64
48,40.33941330092811,52
49,40.13293134853338,81
50,-32.92,47
51,-34.39,53
52,33.0,76
53,-32.91,125
54,-38.980000000000004,60
55,-32.29,79
56,33.0,103
57,-32.28,55
58,-32.96,130
59,33.0,56
60,32.46689895470384,107
61,32.19242902208202,43
62,32.69014084507043,44
63,32.94422310756972,51
64,-30.0,43
65,34.53381207028266,62
66,37.23804136602956,35
67,-37.29,67
68,37.362305131807844,63
69,34.73804188571921,56
70,-37.72,47
71,32.35856573705179,57
72,34.23668100474184,86
73,-36.790000000000006,65
74,35.105053340819765,59
75,34.258533042846764,63
76,37.64417856086834,49
77,-32.39,52
78,38.09423517851294,78
79,35.132947469964044,71
80,-32.81,56
81,34.61352291210949,37
82,-37.39,48
83,32.64459930313589,72
84,32.8804780876494,42
85,35.76892430278885,60
86,-34.769999999999996,62
87,-40.17,40
88,-40.61,29
89,34.60436473339699,77
90,32.66920152091255,69
91,38.63616342248246,60
92,-32.82,47
93,-32.29,40
94,43.08291262093781,38
95,34.73582270795386,56
96,34.529949028119894,52
97,33.0,58
98,37.24151207799113,76
99,37.48321529965994,51
