,episode_reward,nb_episode_steps,nb_steps
269,-1.0,26,9338
270,-1.0,28,9366
271,-1.0,15,9381
272,-1.0,20,9401
273,-1.0,34,9435
274,-1.0,31,9466
275,-1.0,28,9494
276,-1.0,32,9526
277,-1.0,22,9548
278,1.0,45,9593
279,-1.0,38,9631
280,-1.0,38,9669
281,-1.0,30,9699
282,-1.0,64,9763
283,-1.0,28,9791
284,-1.0,28,9819
285,-1.0,31,9850
286,-1.0,44,9894
287,-1.0,81,9975
288,-1.0,25,10000
