,episode_reward,nb_episode_steps,nb_steps
0,-43.53,45,45
1,-32.42,84,129
2,35.10762592652708,49,178
3,32.769230769230774,47,225
4,-34.959999999999994,50,275
5,32.0040650406504,118,393
6,-40.53,78,471
7,-37.28,80,551
8,-38.24,53,604
9,-32.09,94,698
10,34.76119013441211,53,751
11,-37.57,161,912
12,-38.42,61,973
13,-39.82,52,1025
14,-34.69,51,1076
15,-41.45,68,1144
16,-32.07,47,1191
17,-38.3,42,1233
18,34.887581840420175,118,1351
19,34.15868360623003,56,1407
20,40.59736898880384,50,1457
21,33.0,61,1518
22,35.196774193548386,35,1553
23,-33.0,76,1629
24,35.646153846153844,45,1674
25,-37.22,63,1737
26,43.854806166003954,38,1775
27,35.5979020979021,56,1831
28,35.37848932676519,43,1874
29,41.11399781900781,48,1922
30,35.422222222222224,103,2025
31,-37.03,73,2098
32,-32.65,60,2158
33,-33.0,56,2214
34,-35.03,40,2254
35,-37.95,66,2320
36,34.54548565895355,51,2371
37,-32.46,95,2466
38,-34.93,74,2540
39,-32.03,65,2605
40,-33.0,64,2669
41,37.70674654761081,44,2713
42,33.0,83,2796
43,32.006578947368425,47,2843
44,37.29432347419591,52,2895
45,32.88104089219331,50,2945
46,-35.0,87,3032
47,35.286264866314944,81,3113
48,-32.47,52,3165
49,-35.99,89,3254
50,34.9358164983165,70,3324
51,-43.089999999999996,104,3428
52,-38.81,55,3483
53,35.59433962264151,48,3531
54,35.35665843621399,70,3601
55,-42.83,51,3652
56,34.654830577276414,64,3716
57,32.03472222222222,57,3773
58,-38.05,38,3811
59,37.962877572841485,39,3850
60,41.65393345717667,106,3956
61,32.06315789473685,91,4047
62,34.27470164498441,43,4090
63,32.907692307692315,46,4136
64,35.16614420062696,39,4175
65,-43.3,47,4222
66,-35.08,52,4274
67,-35.730000000000004,99,4373
68,-38.94,36,4409
69,43.45405185364554,57,4466
70,-38.4,170,4636
71,37.309846779065296,43,4679
72,-34.78,48,4727
73,37.6314933232773,84,4811
74,-32.8,71,4882
75,42.64939380716946,39,4921
76,-38.480000000000004,61,4982
77,32.137440758293835,50,5032
78,32.45794392523364,70,5102
79,-38.620000000000005,71,5173
80,-35.1,50,5223
81,39.0,32,5255
82,-34.72,37,5292
83,35.11156756756757,45,5337
84,43.46619653536352,40,5377
85,-39.25,48,5425
86,-32.37,55,5480
87,-38.36,39,5519
88,35.35248313090418,103,5622
89,-32.37,58,5680
90,-32.9,78,5758
91,-32.18,53,5811
92,-37.08,70,5881
93,-43.089999999999996,44,5925
94,-32.78,47,5972
95,40.28364001807567,37,6009
96,40.08985117249712,51,6060
97,32.35766423357664,56,6116
98,-35.15,80,6196
99,35.02201591511936,53,6249
100,-32.47,50,6299
101,-34.71,52,6351
102,32.42982456140351,51,6402
103,-35.25,65,6467
104,32.470790378006875,60,6527
105,-37.15,60,6587
106,-40.81,66,6653
107,37.45470271276723,44,6697
108,32.66192170818505,55,6752
109,47.08639650595635,26,6778
110,38.3250773993808,80,6858
111,32.34150943396227,65,6923
112,-38.07,67,6990
113,35.319327731092436,39,7029
114,-38.35,32,7061
115,37.36624484051752,54,7115
116,-34.64,37,7152
117,-32.76,49,7201
118,-32.57,36,7237
119,-32.519999999999996,128,7365
120,-32.47,52,7417
121,40.70344481431695,44,7461
122,-34.69,70,7531
123,40.35127190503109,69,7600
124,34.390666335374675,50,7650
125,-32.26,71,7721
126,35.5910780669145,55,7776
127,33.0,68,7844
128,40.32491957091274,42,7886
129,-39.9,37,7923
130,35.95752895752896,49,7972
131,-32.59,64,8036
132,-34.42,57,8093
133,32.156363636363636,64,8157
134,-37.68,39,8196
135,40.4513366037979,49,8245
136,-39.16,52,8297
137,34.38360489217718,51,8348
138,35.289198606271775,65,8413
139,-33.0,67,8480
140,38.51372549019608,52,8532
141,-35.07,53,8585
142,32.880503144654085,75,8660
143,-35.7,72,8732
144,32.06172839506173,48,8780
145,-34.95,52,8832
146,32.83935742971887,75,8907
147,33.0,53,8960
148,37.59959293322169,46,9006
149,32.403278688524594,50,9056
150,40.18707287709152,60,9116
151,-32.89,71,9187
152,-37.76,47,9234
153,32.06769230769231,39,9273
154,-32.56,59,9332
155,34.5084963705496,49,9381
156,-36.36,73,9454
157,35.252375716641794,78,9532
158,37.89624505928853,58,9590
159,-36.99,35,9625
160,-44.63000000000001,61,9686
161,-32.66,55,9741
162,-33.0,94,9835
163,34.62319513800178,56,9891
164,-38.11,93,9984
165,-32.28,56,10040
166,37.966258284983056,44,10084
167,-35.31,68,10152
168,32.628352490421456,57,10209
169,-32.17,88,10297
170,-32.58,65,10362
171,-38.06,83,10445
172,42.10000776103524,32,10477
173,-37.68,38,10515
174,-32.37,56,10571
175,32.604395604395606,59,10630
176,32.915057915057915,39,10669
177,42.440460524845875,38,10707
178,38.102986113797236,48,10755
179,32.15170278637771,46,10801
180,-37.34,52,10853
181,-32.1,34,10887
182,35.574561403508774,60,10947
183,32.26354679802956,49,10996
