,episode_reward,nb_steps
0,32.93805309734513,59
1,32.34841628959276,53
2,32.40266666666667,74
3,-37.3,47
4,35.450980392156865,83
5,-32.45,50
6,39.01192934320316,57
7,-34.99,81
8,34.43111824218924,51
9,-37.53,80
10,32.569377990430624,57
11,32.113122171945705,46
12,-32.08,50
13,32.711934156378604,66
14,-37.72,56
15,37.72854122621565,48
16,30.0,43
17,35.65573770491803,40
18,35.92413793103448,52
19,34.97191963205035,97
20,32.42238267148015,58
21,38.21109432333262,25
22,-39.42,47
23,-33.0,60
24,-32.17,129
25,-32.60000000000001,49
26,41.44832993370729,27
27,32.132616487455195,45
28,-38.07,59
29,-32.16,83
30,-32.83,48
31,32.11934156378601,54
32,35.072128851540626,38
33,38.71042471042471,45
34,35.58606557377049,45
35,-36.730000000000004,53
36,34.82601547627877,46
37,32.05067567567568,86
38,47.63672621520564,53
39,32.02061855670103,63
40,38.67943425720517,50
41,32.891304347826086,51
42,38.17695473251029,36
43,32.19655172413793,111
44,-37.96,53
45,34.530890179003386,56
46,-32.23,39
47,-32.12,50
48,37.93559101271359,30
49,-32.53,55
50,-38.34,45
51,38.12530682376043,50
52,-33.0,33
53,35.20728851316617,45
54,38.20655961217997,41
55,36.0,47
56,41.34599313920198,43
57,37.83583097528768,73
58,35.151234567901234,43
59,38.01123595505618,61
60,34.55006993006993,46
61,36.858811337613645,51
62,-32.43,43
63,-32.78,50
64,37.513012431711616,51
65,41.08085914949377,37
66,-35.230000000000004,58
67,32.63949843260188,58
68,32.61752988047809,99
69,40.902336182336185,33
70,-33.0,38
71,-32.980000000000004,105
72,-35.06,55
73,41.39043824701195,36
74,-35.67,68
75,43.92268986869877,24
76,35.63537906137184,72
77,37.81595464369245,29
78,-40.13,105
79,32.084112149532714,48
80,35.618229317851956,77
81,-32.69,60
82,-37.62,55
83,-37.980000000000004,55
84,35.46973128274463,53
85,-36.81,79
86,32.11746031746031,48
87,-43.61,32
88,32.765517241379314,69
89,32.705882352941174,54
90,41.513888888888886,40
91,34.52172340340019,36
92,-32.78,96
93,35.370036900369,61
94,37.85715742696875,57
95,-32.08,140
96,40.27603659667177,43
97,-35.75,44
98,-34.75,63
99,35.108754208754206,70
