,episode_reward,nb_steps
0,-41.51,21
1,-38.379999999999995,23
2,-32.29,36
3,-44.58,52
4,-44.45,21
5,-41.83,50
6,-39.0,22
7,-35.91,23
8,-41.76,27
9,-35.46,50
10,-35.769999999999996,19
11,-41.92,61
12,-38.730000000000004,33
13,-34.91,79
14,-44.37,16
15,35.41970802919708,20
16,-38.480000000000004,40
17,32.271929824561404,38
18,32.46762589928058,44
19,34.89785969636473,28
20,-42.0,33
21,-36.0,20
22,-41.03,22
23,-38.33,33
24,-39.0,73
25,-32.83,31
26,-35.46,31
27,-44.71,48
28,-38.620000000000005,25
29,-41.99,35
30,-41.67,105
31,-30.0,47
32,-44.26,37
33,-41.68,34
34,-32.72,39
35,-35.26,30
36,34.46111478299185,45
37,-47.13,34
38,-33.0,34
39,-41.06,53
40,-39.0,29
41,-32.89,48
42,-41.3,42
43,33.0,56
44,35.02389078498294,29
45,32.50788643533123,33
46,-38.36,35
47,-35.25,26
48,-39.0,30
49,-35.89999999999999,36
50,-39.0,25
51,32.530534351145036,26
52,-39.0,21
53,-44.64,36
54,-36.0,46
55,-35.22,28
56,-35.85,23
57,32.483870967741936,31
58,35.41183767499557,215
59,-41.21000000000001,25
60,-35.72,27
61,-41.58,26
62,35.51019164842427,40
63,-36.0,62
64,-38.519999999999996,34
65,-38.66,56
66,-35.43,30
67,-41.11,28
68,-38.93000000000001,26
69,-38.900000000000006,43
70,-36.0,30
71,35.166808774513605,42
72,-44.040000000000006,39
73,-35.7,18
74,-44.230000000000004,23
75,-32.43,49
76,-41.3,26
77,-47.06,16
78,-32.35,60
79,-42.0,22
80,-33.0,32
81,-36.0,40
82,-45.0,26
83,-32.47,69
84,-38.379999999999995,34
85,-41.29,36
86,-41.6,46
87,-38.94,29
88,-43.879999999999995,73
89,-44.620000000000005,14
90,-32.51,61
91,35.27454305634068,32
92,-44.78,38
93,-36.0,33
94,-32.67999999999999,32
95,-35.7,46
96,-41.18,45
97,-41.2,24
98,-41.730000000000004,20
99,-32.42,43
