,episode_reward,nb_steps
0,-32.63,60
1,-32.2,45
2,35.510297350457016,47
3,42.1598026360666,47
4,-37.620000000000005,72
5,38.47772249490127,30
6,33.0,111
7,43.88290152140094,36
8,-32.6,80
9,32.69337979094077,43
10,32.77489177489177,57
11,43.9693431531046,21
12,32.18421052631579,57
13,39.8479970440562,33
14,37.78671372388552,52
15,32.8125,95
16,36.0,37
17,-37.69,36
18,32.14487632508833,64
19,32.3206106870229,40
20,-46.17,46
21,-32.24,87
22,-40.75,65
23,-35.019999999999996,69
24,35.7156440640487,71
25,35.316770186335404,35
26,-42.59,67
27,-32.38,46
28,32.23552123552123,73
29,32.36496350364963,50
30,47.44107744107744,23
31,-34.4,56
32,32.184668989547035,131
33,32.27491408934708,51
34,38.081425314699175,36
35,-35.41,84
36,37.78565980167811,54
37,-34.97,63
38,-32.57,65
39,32.81386861313869,69
40,-33.0,129
41,37.45445504861906,40
42,-32.66,50
43,-37.88,83
44,-32.58,72
45,32.90334572490706,41
46,34.731364107470306,99
47,35.04415544361057,77
48,-32.9,56
49,32.82113821138211,50
50,37.46233729684092,43
51,40.94968561959783,45
52,47.17748917748918,19
53,32.302405498281786,40
54,32.5,58
55,35.666014988595634,105
56,32.886274509803926,40
57,-32.18,78
58,-32.09,45
59,37.483200414964664,38
60,-35.61,50
61,-43.34,66
62,-32.63,51
63,33.0,86
64,40.900579480487195,30
65,-35.88,53
66,34.706753812636165,100
67,36.0,25
68,-32.3,83
69,-32.45,58
70,-32.04,77
71,38.786206896551725,78
72,37.68852792003984,55
73,33.0,35
74,-32.209999999999994,57
75,-32.31,90
76,-37.980000000000004,49
77,-36.75,28
78,35.5,62
79,38.255548545390816,59
80,-32.12,51
81,42.712100590026964,36
82,-32.31,71
83,38.08955223880597,57
84,-32.52,50
85,-37.269999999999996,25
86,32.62132352941177,69
87,-32.41,71
88,-39.57,44
89,-34.97,36
90,-36.0,51
91,-32.19,54
92,-37.72,42
93,32.628158844765345,35
94,35.82890855457227,76
95,44.277239918102694,32
96,-33.0,146
97,-30.0,49
98,47.008219919984626,24
99,35.45538461538462,46
