,episode_reward,nb_steps
0,-44.62,37
1,-38.81,27
2,-42.0,30
3,-38.59,32
4,32.89575289575289,58
5,-36.0,85
6,-42.0,44
7,-33.0,35
8,-42.0,49
9,-36.0,33
10,-35.26,49
11,-38.81,48
12,37.541694302080195,66
13,-38.67,25
14,-32.21,30
15,-35.21,54
16,-33.0,49
17,38.599264705882355,19
18,32.73020527859238,39
19,-32.61,32
20,-38.92,24
21,-39.0,73
22,-38.19,34
23,-35.42999999999999,55
24,-33.0,27
25,32.892307692307696,46
26,-47.26,19
27,-35.78,41
28,41.10714285714286,23
29,-38.65,27
30,33.0,35
31,-38.82,24
32,32.032653061224494,52
33,-38.86,36
34,-38.019999999999996,27
35,-35.22,58
36,-33.0,63
37,-38.91,34
38,-38.269999999999996,26
39,-36.0,46
40,-36.0,25
41,-32.37,47
42,-35.480000000000004,52
43,-35.62,31
44,-36.0,41
45,-38.59,41
46,-42.0,22
47,-41.35,31
48,-36.0,39
49,-36.0,66
50,32.457044673539514,44
51,-35.4,59
52,-41.68,53
53,-32.99999999999999,30
54,-36.0,37
55,-37.97,26
56,-41.730000000000004,43
57,-35.91,32
58,32.273927392739274,39
59,-35.84,47
60,-36.0,49
61,-44.14,66
62,-32.11,37
63,-41.03,27
64,-38.22,38
65,-41.65,26
66,-41.64,20
67,-41.519999999999996,48
68,32.04761904761905,31
69,-39.0,27
70,32.26640926640927,32
71,-44.7,22
72,-44.71,23
73,-42.0,39
74,-33.0,36
75,-45.0,39
76,32.262798634812285,48
77,-35.32,71
78,-32.21,40
79,-32.84,40
80,-38.71,44
81,-44.519999999999996,20
82,32.79757085020243,38
83,-41.17,24
84,-44.91,34
85,-41.7,29
86,-35.44,24
87,-35.05,47
88,32.436619718309856,27
89,-32.65,59
90,-32.46,48
91,-38.67,27
92,-41.63,65
93,-38.42,43
94,-32.8,55
95,-39.0,19
96,-35.11,33
97,-35.84,32
98,-38.55,36
99,-39.0,56
