,episode_reward,nb_steps
0,43.934734513274336,19
1,44.749140893470795,30
2,41.730158730158735,29
3,35.309328343458034,46
4,43.498172018694405,22
5,35.875457875457876,43
6,44.04373269569595,16
7,35.90252707581227,39
8,38.28035063914875,36
9,46.93973759508688,24
10,44.66666666666666,17
11,47.08273381294964,19
12,47.72566371681417,14
13,44.082089552238806,25
14,44.226299694189606,15
15,41.373559703096326,34
16,-32.21,29
17,39.0,20
18,45.0,15
19,41.90334572490706,30
20,41.275618374558306,18
21,44.68325791855203,19
22,41.46126760563381,37
23,38.29051987767584,35
24,44.54838709677419,14
25,41.58098591549296,34
26,41.52650176678445,17
27,41.18283582089552,27
28,46.67254440961337,33
29,44.82213438735178,25
30,43.84434391842463,18
31,43.58606970185335,17
32,41.26523297491039,35
33,38.203821656050955,34
34,40.94309174887381,29
35,46.715618374558304,18
36,32.87550200803213,33
37,44.11032028469751,16
38,37.800092535705886,36
39,41.16935540621371,97
40,44.79272727272728,25
41,38.57351684859991,33
42,47.63745019920319,17
43,35.526130982734756,39
44,37.96039549874358,29
45,-32.78,38
46,35.129692832764505,35
47,41.36144578313253,30
48,41.42279411764706,23
49,40.27342583360697,33
50,35.52112676056338,19
51,35.97222222222222,37
52,38.449541284403665,29
53,44.11257649413783,17
54,-33.0,46
55,44.31858407079646,18
56,36.0,41
57,41.68273092369478,24
58,-32.18,32
59,47.61832061068702,18
60,38.75836431226766,31
61,39.0,23
62,42.0,25
63,44.87258687258687,22
64,32.64609053497942,116
65,44.812720848056536,18
66,44.60142348754448,16
67,41.037798284862035,20
68,35.81516587677725,48
69,36.67480263157895,20
70,47.19844819225174,53
71,42.84092775291772,23
72,47.060881854154886,28
73,39.0,50
74,-32.67,43
75,43.49491117050002,18
76,41.26704263318437,20
77,41.2063492063492,18
78,40.82953332453794,23
79,37.99098468563049,20
80,48.0,9
81,40.77123866984151,21
82,39.0,26
83,39.0,38
84,36.0,34
85,44.134116386647776,22
86,37.72767918301264,26
87,41.475352112676056,33
88,38.79012345679013,31
89,47.166372757513514,16
90,43.93692881393666,72
91,36.0,27
92,38.484797905416464,32
93,44.8006230529595,23
94,36.0,29
95,41.84415584415584,18
96,39.0,25
97,40.40196338978683,40
98,38.63834154351396,33
99,41.172413793103445,26
